business_name,category_desc,street,city,post_code,latitude,longitude,reviews_count,review_score,hygiene_score,place_id,BusinessName,PostCode,RatingValue,compare_name,compare_post
Sydenham Sushi & Noodle Bar,"Sushi takeaway, Fast food restaurant, Japanese curry restaurant, Japanese restaurant, Delivery Restaurant, Takeout Restaurant, Restaurant, Sushi restaurant",176 Dartmouth Rd,London,SE26 4QZ,51.432532,-0.0602626,4,5,,ChIJGbNq9YcDdkgREMNJ2exiTyM,,,,,
Tru Restaurant & Bar,Vietnamese restaurant,"31A, City Walk, Perry Vale",London,SE23 2AR,51.4389534,-0.0527403,48,4.8,,ChIJNTaPT2cDdkgRTDJ4mjCgLiU,,,,,
Sylvan Post,"Restaurant, Bar, Gastropub, Pub","Heron House, 24-28 Dartmouth Rd",London,SE23 3XZ,51.4380748,-0.0546876,708,4.3,,ChIJm8MDJNcDdkgRjF5yRUGmlCM,Sylvan Post,SE23 3XZ,AwaitingInspection,,
Charcoal Grill,"Kebab shop, Fast food restaurant, Takeout Restaurant",57 Brockley Rise,London,SE23 1JG,51.4444481,-0.0428034,164,4.6,,ChIJp0RLsTMCdkgRV-xXXx-6oDM,Charcoal Grill,SE23 1JG,4,,
Kozan,"Turkish restaurant, Fish and chips takeaway, Kebab shop",321 Kirkdale,London,SE26 4QB,51.4267719,-0.0550983,80,4.4,,ChIJY_NSMfYBdkgRGv96_grV-IQ,Kozan,SE26 4QB,5,,
BB & Friends,"Restaurant, Breakfast restaurant, Cafe",27 Dartmouth Rd,London,SE23 3HN,51.4381823,-0.0542698,253,4.5,,ChIJXQBlDdEDdkgRBtXj9VEA1wQ,,,,,
McDonald's,"Fast food restaurant, American restaurant, Breakfast restaurant, Chicken restaurant, Delivery service, Diner, Hamburger restaurant, Restaurant",Bell Green Retail Park,London,SE26 4PU,51.4310391,-0.0336689,2025,2.8,,ChIJ4cFy9ScCdkgRS3l85bsvOh8,,,,,
The Guava Kitchen,Vegan restaurant,16 London Rd,London,SE23 3HF,51.4394036,-0.0545383,248,4.5,,ChIJ56w3Lk0DdkgRoIyLJAjo4Dg,,,,,
The Signal Pub,"Pub, Bar, Gastropub",7 Devonshire Rd,London,SE23 3HE,51.4395262,-0.0539267,781,4.1,,ChIJk77dmdEDdkgR5SpERlEsOyY,,,,,
Canvas & Cream,"Brunch restaurant, Breakfast restaurant, Cafe, Cocktail bar, Diner, Event venue, Garden, Lunch restaurant",18 London Rd,London,SE23 3HF,51.4394256,-0.05465,679,4.3,,ChIJ-ePh5bgDdkgR_Y3johMsZgo,,,,,
Maharajah Indian cuisine,"Modern Indian restaurant, Asian restaurant, Fast food restaurant, Halal restaurant, Indian takeaway, Delivery Restaurant, Restaurant",49A Dartmouth Rd,London,SE23 3HN,51.4375389,-0.0543719,79,4.9,,ChIJLz5l_XIDdkgRcH_Gk9S13Q8,,,,,
KFC Forest Hill,"Fast food restaurant, Chicken restaurant, Chicken wings restaurant, Fried chicken takeaway, Takeout Restaurant",52 London Rd,London,SE23 3HF,51.4399377,-0.0558863,194,2.9,,ChIJ4bKbjnMDdkgRsxQgGXTYxfQ,,,,,
Chefs Delight,"Cafe, Breakfast restaurant",69 Sydenham Rd,London,SE26 5UA,51.4262618,-0.0510308,387,4.5,,ChIJNZNZ0H4BdkgRblDRPC5idc8,,,,,
Mammas Pizza,"Restaurant, Pizza restaurant, Pizza Takeout",131 Stanstead Rd,London,SE23 1HH,51.4424333,-0.0466712,105,3.7,,ChIJfaMpvokDdkgRcz__9h6LEt8,,,,,
Tofu East Asian Canteen,Chinese restaurant,18 Dartmouth Rd,London,SE23 3XU,51.4382671,-0.0544591,142,4,,ChIJtzKDyb0DdkgRwoWZu9UTlfo,,,,,
The Honor Oak Pub,"Restaurant, Pub",1 St German's Rd,London,SE23 1JG,51.4432704,-0.0422674,952,4.1,,ChIJi2edJTICdkgR25Q88_BrBwk,,,,,
Chicken Cottage,"Fried chicken takeaway, Chicken shop, Fast food restaurant",328 Ruislip Rd,London,UB6 9BH,51.5276839,-0.3519686,124,3.7,,ChIJmduxypcSdkgRYEfxBP491z4,Chicken Cottage,UB6 9BH,4,,
Tasty Kebab & Pizza House,"Pizza restaurant, Pizza Takeout",44 Greenford Rd,Greenford,UB6 9AT,51.5187533,-0.3544712,111,3.3,,ChIJ1xwP7KESdkgRKPim3jgCTdM,Tasty Kebab & Pizza House,UB6 9AT,3,,
ICY N SPICY,Takeout Restaurant,"OPPOSITE VISHWA HINDU MANDIR, 2 Lady Margaret Rd",Southall,UB1 1PS,51.5116689,-0.3751758,188,4.9,,ChIJAQ2KgysNdkgRGy0RFes3SPw,,,,,
China Kitchen,"Chinese takeaway, Chinese restaurant",321 Greenford Ave,London,W7 1JH,51.5225056,-0.3400015,70,4.2,,ChIJbRE5IIUSdkgR5wp5xq3ipzI,China Kitchen,W7 1JH,4,,
