title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName,url
Dami Sushi Japanese & Korean Restaurant,4.5,179,69 Stonecot Hill,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ54i2gV4IdkgR25X-mx3bCQs
Nori Sushi Bar & Grill,4.7,96,"Unit 1 B & C, market, Unit 1 B & C Broadway, 29 Tooting High St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJL9FDNu8HdkgRO4MW8VFrK-Y
Obon - Sushi & Udon,4.8,416,42 Richmond Rd,Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ8WtQjesLdkgRZ4jVLQOAScg
Tsukiji Sushi Fusion,4.5,126,"Broadway Market, Unit 68 29 Tooting High St",Broadway,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJqdh43BQHdkgRxv-jceWpfAQ
YO! Kingston,3.9,540,"First, Bentalls Shopping Centre, Wood St",Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ2eAoNZULdkgR5eV3WllbI-c
Ohaio,4.3,59,1 Coombe Rd,New Malden,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ2TSuWxMJdkgR4hUh67aL-Cs
Ohayo Sushi,4.5,108,"71 Upper Richmond Road, 3 Keswick Rd, Broadway",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJtVh37mwPdkgRgeFkga1Y2gI
ii-ma Sushi,4.8,373,6 Mulgrave Rd,Sutton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJC3bP3AgIdkgRkjwwamFFIwE
Sushi Tama,4.8,188,21 Station Way,Sutton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZ0OWVSMIdkgRvcp_n_-h5GQ
HUNNU Sushi & Bento,4.4,17,380 Garratt Ln,4HP,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJoeQ7CTQFdkgRwnIaj35nSZQ
IRO Sushi,4.2,273,3 Bramlands Cl,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ7xGQ2ZsFdkgR-L5smOEaRDQ
Umi sushi,5,5,15 Glenville Mews,London,GB,,,Sushi takeaway,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ9RqjQd4PdkgRdfoidwgZUyk
Very Sushi London,3.2,46,"40, 38 Roehampton High St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ53Wka94OdkgRGqPG0eMDQR8
itsu - Kingston,4.3,707,22 Clarence St,Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJackTtuoLdkgRCBn1qTqD1X0
UCHI,4,443,144 Clarence Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJiSca_vgcdkgRfshVGZ-fpUU
Sushi Omakase,,0,Unit 228 Burford Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJqT3qHmAddkgRbZKJDllCJcg
Suntory Sushi,,0,209 E India Dock Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJgRogdLICdkgRjIDK_VCtiCo
Wasabi Sushi & Bento,4.2,318,"Unit 16, 1-34 Entertainment Avenue The O2",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJw7YHVxyo2EcRo611f0AgLMo
The Sushi Bar Brick Lane,4.4,175,10 Osborn St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJj69yy8YddkgRPDkXd4rECUM
Sushi n sashimi restaurant,4.6,132,219 Whitechapel Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJq9dZSdwddkgRv7hfE2dcn08
Sticks'n'Sushi Greenwich,4.6,1350,1 Nelson Rd.,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJFUcj-oQCdkgREyImkdKdS-U
Maho Sushi,4.3,6,Arch 6 Gales Gardens,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJX89qYboddkgRF22NbUk96tc
Wasabi Sushi & Bento,3.7,406,385 Cabot Square,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJk_2TBsgCdkgR19D_0zg2xpQ
Sushi Show Shoreditch,4.6,417,136 Bethnal Grn Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJRd3u9XsddkgRELuz_aNBC50
Nuha Sushi,1.8,10,22 Kerbey St,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJhatvsLMCdkgR5UGuiv-ZszM
The Sushi Co Canary Wharf,4.5,285,"1 Westward Parade, Pepper St",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ275Uej4DdkgR9jXCJccFVtg
Sushi Heads,4.8,210,205b Philip Ln,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJq1hi8w8cdkgR2_t7orsmGvg
Zero Sushi,,0,"Truman’s Social Club, 1 Priestley Way",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJZ5fsY1oddkgRQukHT0eUAS8
Sushi Masago,4.7,247,149a Cannon St Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJS0PpCJMDdkgRd2HzvzsC0pA
Kokoro Kingston,4.2,684,10 Castle St,Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ8cOkWeoLdkgR4GBxIDOP7fM
The Umi,4.2,130,4 Bedford Hill,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJr8ZEbM8FdkgRB5V2Vi27c40
Kokoro Sutton,4.2,640,162 High St,Sutton,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ1_7dcAwIdkgRQ5NyG9rfQWA
Sushi Cafe,4,1418,555 Battersea Park Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJieYeSJ4FdkgRlqHNECqpR8E
Taro - Balham,4,490,193 Balham High Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJrzeWNsUFdkgRcaapkOj5rKg
Toroi Sushi Ltd,3.7,60,5 Putney Hill,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJjWrEJxIPdkgRqdHbRdLxsjE
KIBOU Japanese Kitchen & Bar,4.5,344,175 Northcote Rd,London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJcaiNzIQFdkgRfBEKba3yXx4
Ke Sushi,4.7,281,36 London Rd,Twickenham,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJpyy62GEMdkgRgxpcUzJKJfA
Sushi Moka Wandsworth,4.8,34,"Ram Quarter, 24 Ryeland Blvd",London,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ4Vh1q1UPdkgRpvnAUg1snb0
Wasabi Sushi & Bento,3.6,39,81 Clarence St,Kingston upon Thames,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJo4RioEMLdkgRpbXmCd6DjNA
Umi,4.8,514,30 York St,Twickenham,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJBRtZlGEMdkgRgClfeWE3ssc
Matsuba,4.3,159,10 Red Lion St,Richmond,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJv0EPfTgMdkgRTwEa5O7WjxM
Hanana Sushi,4.8,380,49 Kew Rd,Richmond,GB,,,Sushi restaurant,https://www.google.com/maps/search/?api=1&query=sushi restaurant&query_place_id=ChIJ0Rp_EDcMdkgR2LLshsq8Vk0
